canton,Sex - total,Male,Female
ZH,36167,19727,16440
BE,15461,8111,7350
LU,6661,3640,3021
UR,494,313,181
SZ,2114,1231,883
OW,493,260,233
NW,533,316,217
GL,734,461,273
ZG,3142,1732,1410
FR,5080,2720,2360
SO,3983,2307,1676
BS,7049,3676,3373
BL,4179,2228,1951
SH,1514,842,672
AR,686,355,331
AI,150,83,67
SG,8531,4847,3684
GR,4283,2347,1936
AG,10516,6045,4471
TG,4450,2413,2037
TI,8338,4452,3886
VD,27319,14082,13237
VS,7455,4058,3397
NE,3577,1876,1701
GE,24640,12010,12630
JU,957,541,416
