canton,Sex - total,Male,Female
ZH,33543,18053,15490
BE,13696,7149,6547
LU,6164,3327,2837
UR,440,277,163
SZ,2256,1286,970
OW,454,233,221
NW,576,320,256
GL,625,371,254
ZG,2967,1619,1348
FR,4530,2402,2128
SO,3860,2264,1596
BS,6622,3433,3189
BL,3368,1734,1634
SH,1394,725,669
AR,532,295,237
AI,156,90,66
SG,8134,4706,3428
GR,3812,2187,1625
AG,9533,5253,4280
TG,4144,2336,1808
TI,6462,3349,3113
VD,26067,13491,12576
VS,6517,3477,3040
NE,3147,1633,1514
GE,21218,10459,10759
JU,718,404,314
