"Year","Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"2019","Cambodia",7,2,2,24,9,12,10,4,6,3,2,0,1,1,0,0,0,0,0,0,0
"2019","Qatar",2,2,1,0,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2019","Kuwait",3,3,2,1,1,3,2,3,0,1,0,1,0,0,1,0,1,1,0,0,0
"2019","Laos",3,3,1,4,3,7,8,6,1,1,1,0,0,0,0,0,0,0,0,0,0
"2019","Lebanon",7,3,0,37,58,59,41,21,10,8,3,3,1,1,0,0,1,0,0,0,0
"2019","Malaysia",1,5,3,31,68,25,24,18,14,7,4,3,0,1,0,0,0,0,0,0,0
"2019","Maldives",1,1,0,0,1,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Oman",2,0,1,1,1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"2019","Mongolia",5,2,5,14,12,8,19,5,5,9,2,1,1,1,2,0,0,0,0,0,0
"2019","Nepal",6,5,3,6,13,12,19,8,4,3,5,4,1,2,0,1,0,0,0,0,0
"2019","North Korea",1,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"2019","United Arab Emirates",2,0,0,2,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"2019","Pakistan",18,21,6,7,23,56,38,33,26,9,8,3,1,0,1,0,0,1,0,0,0
"2019","Philippines",6,28,19,20,26,110,98,69,66,53,50,31,25,7,0,0,0,1,1,0,0
"2019","Saudi Arabia",17,9,12,38,25,23,15,15,12,7,5,7,2,1,2,2,0,0,0,0,0
"2019","Singapore",7,4,2,5,32,31,25,25,16,13,3,4,1,1,0,0,0,0,0,0,0
"2019","South Korea",14,27,17,67,132,111,88,62,51,19,13,7,3,1,2,0,0,0,0,0,0
"2019","Syria",214,240,186,126,149,137,156,145,81,55,29,21,13,5,1,1,1,2,0,0,0
"2019","Thailand",28,31,38,63,127,113,107,131,97,59,23,9,2,1,3,0,0,0,0,0,0
"2019","Vietnam",8,13,18,158,169,76,59,26,22,18,7,6,2,0,2,0,0,0,0,0,0
"2019","Bangladesh",7,9,4,4,14,25,28,11,10,3,2,1,1,1,0,0,0,0,0,0,0
"2019","Timor-Leste",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2019","Palestine",1,0,0,3,1,9,5,0,2,1,1,0,0,0,0,1,0,0,0,0,0
"2019","Armenia",4,2,2,2,9,14,14,6,5,3,1,2,0,2,1,0,0,0,0,0,0
"2019","Azerbaijan",5,22,15,22,17,22,22,16,3,10,5,4,2,0,0,0,0,0,0,0,0
