"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Switzerland",1967,1371,1003,1349,2646,2670,2457,1912,1729,1751,1314,1150,911,732,434,306,185,86,31,1,1
"Albania",1,4,4,16,22,42,23,16,8,1,1,1,1,1,0,1,0,0,0,0,0
"Andorra",2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",71,48,47,79,166,195,174,113,110,87,54,38,15,21,4,1,7,5,0,0,0
"Bulgaria",50,39,36,66,101,190,182,148,135,71,22,15,10,0,2,0,2,0,1,0,0
"Denmark",48,28,33,9,32,66,78,84,47,35,33,16,6,7,1,0,2,0,0,0,0
"Germany",1001,813,579,756,3474,6220,4494,2648,2317,2217,1513,718,330,161,126,44,36,21,4,0,0
"Finland",19,20,5,16,62,96,78,40,28,24,14,12,1,0,2,1,0,0,0,0,0
"France",508,404,303,920,1911,2592,1703,1074,753,522,330,208,159,81,46,30,18,4,6,-1,0
"Greece",83,63,66,42,164,340,290,225,150,100,59,25,23,14,11,10,4,2,1,0,0
"United Kingdom",328,279,154,129,388,597,668,631,505,411,260,170,69,29,17,14,8,3,2,2,0
"Ireland",41,39,20,12,31,64,101,79,67,41,35,15,2,0,0,1,0,0,0,0,0
"Iceland",5,6,5,1,12,19,10,10,4,5,1,3,0,0,0,0,0,0,0,0,0
"Italy",647,480,383,581,1899,2242,1865,1731,1430,1096,672,417,196,152,135,96,44,28,4,0,0
"Liechtenstein",1,0,1,5,22,24,20,14,1,8,3,3,2,1,0,0,1,0,0,0,0
"Luxembourg",4,0,2,52,66,26,7,4,0,1,4,0,0,0,0,0,0,0,0,0,0
"Malta",1,1,0,1,3,13,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",90,86,60,41,129,204,208,156,155,119,95,50,46,27,10,3,2,0,1,1,0
"Norway",22,8,5,5,43,46,24,15,14,10,11,7,4,4,0,1,0,0,0,0,0
"Austria",94,97,57,143,401,647,484,353,267,215,131,70,23,12,8,1,0,1,0,0,0
"Poland",156,93,55,59,399,795,665,462,279,169,132,67,31,8,0,0,0,2,0,0,0
