canton,Sex - total,Male,Female
ZH,35908,19543,16365
BE,13503,7159,6344
LU,6303,3317,2986
UR,516,288,228
SZ,2191,1191,1000
OW,386,200,186
NW,523,303,220
GL,545,296,249
ZG,2932,1591,1341
FR,4550,2476,2074
SO,3611,2097,1514
BS,7213,3735,3478
BL,3403,1732,1671
SH,1202,644,558
AR,552,294,258
AI,135,66,69
SG,8484,4904,3580
GR,3641,2028,1613
AG,9538,5350,4188
TG,4499,2468,2031
TI,5414,2858,2556
VD,23415,12111,11304
VS,6247,3427,2820
NE,3296,1697,1599
GE,20852,10131,10721
JU,686,372,314
