canton,Sex - total,Male,Female
ZH,32824,17820,15004
BE,15845,8524,7321
LU,6601,3433,3168
UR,506,313,193
SZ,2298,1322,976
OW,521,305,216
NW,576,349,227
GL,656,428,228
ZG,3223,1791,1432
FR,6258,3380,2878
SO,3568,1943,1625
BS,7597,4021,3576
BL,4077,2174,1903
SH,1812,973,839
AR,665,389,276
AI,161,91,70
SG,8588,4920,3668
GR,5206,2891,2315
AG,9816,5393,4423
TG,4788,2637,2151
TI,9872,5077,4795
VD,28668,14924,13744
VS,8559,4674,3885
NE,4488,2381,2107
GE,23897,11544,12353
JU,1057,568,489
